road,roadName,vulnerableUserAccidents
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7301588,Industriestraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_386870854,Ketensedijk,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_141883027,Pieter de Hoochweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1377577715,Bergweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_691257543,Crooswijksestraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7121614,Tramstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_144647909,Kalandergang,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7046231,Piet Heinkade,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7489970,Apeldoornselaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_886481637,Beresteinlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_127439586,Nassaulaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_151150842,Waldorpstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_129382852,Stevinstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1084469724,Secretaris Verhoeffweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_130177340,Nieuwe Parklaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_161587551,Groeninx van Zoelenlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_47293800,Mathenesserweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7176863,Noord Brabantlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6652012,Hogelandsingel,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6965849,Hoofdweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7410258,Leidsevaartweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_131612235,Weteringdreef,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_547760438,Lekstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7521885,Boezemsingel,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1344878864,Scheveningseweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1393159889,Jan van Galenstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6642798,Nieuweweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7399886,Schipholweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_707009268,Henk Sneevlietweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_88447138,Oldegaarde,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_211771895,Jan Hendrikstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7316614,Prins Alexanderlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_32136653,Houtwijklaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7493035,Beresteinlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1156631351,Predikbroedersweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6641116,Texelstroomlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_688039457,Paltrokstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6628887,Beneluxlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7490892,Meppelweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_100876542,Groot Hertoginnelaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_473853600,Herensingel,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7339558,Brouwersdijk,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_93248792,Rijksstraatweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_377776692,Kromwijkdreef,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7421250,Zijde,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_294594733,Prinses Beatrixlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6848838,Deelenseweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7535027,Scheepvaartweg,2
