site_id,total_measurements,flow_measurements,speed_measurements,avg_flow,max_flow,avg_speed,max_speed,min_speed,speed_std,latitude,longitude,sensor_type,matched_dgl_loc,wegtype,match_strategy,provider,device_type,road_number,direction,hectometer,lane
RWS01_MONICA_10D01002F400B820000F,4,2,2,120.0,120.0,109.0,109.0,109.0,0.0,51.920805596727725,4.534798117770476,CountingPoint,RWS01_MONICA_10D01002F400B820000F,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D01002F400B820000B,4,2,2,900.0,900.0,96.0,96.0,96.0,0.0,51.920805596727725,4.534798117770476,CountingPoint,RWS01_MONICA_10D01002F400B820000B,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0010vwq0159ra,4,2,2,,,,,,,52.31384871626386,5.113460359255593,CountingPoint,RWS01_MONIBAS_0010vwq0159ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D01002F400B8200007,4,2,2,420.0,420.0,104.0,104.0,104.0,0.0,51.920805596727725,4.534798117770476,CountingPoint,RWS01_MONICA_10D01002F400B8200007,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0090vwy0102ra,4,2,2,540.0,540.0,95.0,95.0,95.0,0.0,52.302078413172175,4.955296646416759,CountingPoint,RWS01_MONIBAS_0090vwy0102ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0010vwb0287ra,4,2,2,60.0,60.0,47.0,47.0,47.0,0.0,52.23757470386144,5.229183114989618,CountingPoint,RWS01_MONIBAS_0010vwb0287ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D00716540ED0050009,4,2,2,1020.0,1020.0,89.0,89.0,89.0,0.0,52.97124889816523,5.906378645493575,CountingPoint,RWS01_MONICA_10D00716540ED0050009,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0151hrl0193rb,4,2,2,,,,,,,51.94107313334726,4.028690023750121,CountingPoint,RWS01_MONIBAS_0151hrl0193rb,H,exact,RWS01,MONIBAS,0151,hrl,0193,rb
RWS01_MONIBAS_0020vwc1189ra,4,2,2,900.0,900.0,57.0,57.0,57.0,0.0,51.67424508931168,5.329900508508189,CountingPoint,RWS01_MONIBAS_0020vwc1189ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0010vwm0868rb,4,2,2,60.0,60.0,85.0,85.0,85.0,0.0,52.18487778454324,6.014385985595284,CountingPoint,RWS01_MONIBAS_0010vwm0868rb,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0160vwa0485ra,4,2,2,600.0,600.0,84.0,84.0,84.0,0.0,51.68741752729228,4.658090450000795,CountingPoint,RWS01_MONIBAS_0160vwa0485ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0790vwq0001ra,4,2,2,780.0,780.0,86.0,86.0,86.0,0.0,50.86842822413108,5.726860678005918,CountingPoint,RWS01_MONIBAS_0790vwq0001ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D007169440D0050005,4,2,2,780.0,780.0,110.0,110.0,110.0,0.0,52.97874580123239,5.927557300500878,CountingPoint,RWS01_MONICA_10D007169440D0050005,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D00407BC486020000B,4,2,2,480.0,480.0,75.0,75.0,75.0,0.0,52.038966203937925,4.340167600659793,CountingPoint,RWS01_MONICA_10D00407BC486020000B,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D00407BC486020000F,4,2,2,720.0,720.0,73.0,73.0,73.0,0.0,52.038966203937925,4.340167600659793,CountingPoint,RWS01_MONICA_10D00407BC486020000F,H,exact,RWS01,MONICA,,,,
RWS01_MONICA_10D007169440D0050009,4,2,2,1440.0,1440.0,98.0,98.0,98.0,0.0,52.97874580123239,5.927557300500878,CountingPoint,RWS01_MONICA_10D007169440D0050009,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0010vwc0314ra,4,2,2,480.0,480.0,80.0,80.0,80.0,0.0,52.22447939009139,5.260933175191024,CountingPoint,RWS01_MONIBAS_0010vwc0314ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0160vwb0114ra,4,2,2,840.0,840.0,67.0,67.0,67.0,0.0,53.21757859329658,6.614673609619691,CountingPoint,RWS01_MONIBAS_0070vwj2010ra,H,road_only,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0150vwf0602ra,4,2,2,720.0,720.0,94.0,94.0,94.0,0.0,51.86532946119231,4.52346249302938,CountingPoint,RWS01_MONIBAS_0150vwf0602ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0020vwe1117ra,4,2,2,,,,,,,51.725330660423325,5.32103656489787,CountingPoint,RWS01_MONIBAS_0020vwe1117ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0200vwd0270ra,4,2,2,1020.0,1020.0,69.0,69.0,69.0,0.0,51.92279169764514,4.414354250858115,CountingPoint,RWS01_MONIBAS_0200vwd0270ra,H,exact,RWS01,MONIBAS,,,,
