id,naam,dgl_loc,lengte,wegtype,meetgeg,ref_begin,ref_eind,ref_loc,length_km,geometry_wkt,sensor_uri,sensor_type,centroid_lon,centroid_lat
4856,0011hrl0835ra0,RWS01_MONIBAS_0011hrl0835ra0,392.0,H,4,14566,14567,14568,0.3923490902346463,"LINESTRING (5.969580202298646 52.17297280400579, 5.968603302297668 52.17285930400573, 5.96742780229649 52.17275780400573, 5.965881702294944 52.172681404005665, 5.964654702293716 52.172650004005696, 5.963879978657737 52.172664137513614)",sensor:meetvak_10,MeasurementSection,5.966733607522192,52.17275172774236
4855,0351hrl0664ra0,RWS01_MONIBAS_0351hrl0664ra0,5298.0,H,4,14563,14564,14565,5.298045283041668,"LINESTRING (6.819302656929015 52.208209557591935, 6.8192302 52.2082297, 6.8180165 52.2085798, 6.8165588 52.209034, 6.8155379 52.2093808, 6.8145378 52.2097337, 6.8135541 52.2101046, 6.8128291 52.2103927, 6.8119317 52.2107633, 6.8110597 52.2111506, 6.8100651 52.211609, 6.8089039 52.2121843, 6.8073307 52.2130318, 6.8062374 52.2136782, 6.804915 52.2145122, 6.8038938 52.2152117, 6.801942 52.2166724, 6.7995489 52.2185587, 6.7993687 52.2187034, 6.7984521 52.2194141, 6.7958425 52.2214688, 6.7933345 52.2234381, 6.7922631 52.2242423, 6.7915558 52.2247399, 6.7907899 52.2252564, 6.790129 52.2256801, 6.7894774 52.2260698, 6.7882914 52.2267395, 6.787507 52.2271538, 6.7864353 52.2276835, 6.785376 52.2281659, 6.7842179 52.2286653, 6.7830721 52.2291287, 6.7816515 52.2296773, 6.7791561 52.2305852, 6.7774729 52.2311773, 6.7753852 52.2319093, 6.7739244 52.2324484, 6.7724142 52.2330234, 6.771005 52.2335942, 6.7696387 52.234199, 6.7684654 52.2347497, 6.7682397 52.2348641, 6.7678435 52.2350648, 6.7668889 52.2355839, 6.7659627 52.2361013, 6.765172 52.2365874, 6.763828 52.2374839, 6.7629566 52.238123, 6.7623577 52.2385943, 6.7619092 52.238972, 6.761630373429721 52.23920865813963)",sensor:meetvak_11,MeasurementSection,6.790471761420587,52.223672767704734
4854,0160vwx0193ra0,RWS01_MONIBAS_0160vwx0193ra0,905.0,H,4,14560,14561,14562,0.9058461093668025,"LINESTRING (4.534199786027306 51.917122994128526, 4.5342266 51.9169458, 4.5343026 51.9166002, 4.5343512 51.9164316, 4.5344053 51.9162563, 4.5344677 51.9160597, 4.5345531 51.9158014, 4.5348186 51.9151643, 4.5350778 51.9145619, 4.535327 51.9140448, 4.5360098 51.9126644, 4.5363447 51.9121788, 4.5366192 51.9118158, 4.5370954 51.9113471, 4.5374628 51.9109831, 4.5377337 51.9106339, 4.5381441 51.9100879, 4.5382828 51.9099654, 4.538591115520258 51.90951765408981)",sensor:meetvak_12,MeasurementSection,4.53605663923633,51.913132344368
4853,0351hrr0479ra0,RWS01_MONIBAS_0351hrr0479ra0,1036.0,H,4,14557,14558,14559,1.0367627407545206,"LINESTRING (6.649030276946834 52.323411337360206, 6.649735 52.3232654, 6.6518014 52.3228288, 6.6527175 52.3226313, 6.6534853 52.3224648, 6.6549006 52.3221533, 6.6551317 52.3221029, 6.6594027 52.3211429, 6.6597182 52.321072, 6.6628757 52.3203632, 6.663338723991852 52.32025862815643)",sensor:meetvak_13,MeasurementSection,6.6561888794489965,52.3218550670743
4852,0011hrl0270ra0,RWS01_MONIBAS_0011hrl0270ra0,489.0,H,4,14554,14555,14556,0.4898487556392776,"LINESTRING (5.213542841982753 52.2492417513688, 5.2132655 52.2496918, 5.2132386 52.2497398, 5.2130945 52.2499814, 5.2130292 52.2500882, 5.2129874 52.2501584, 5.2127485 52.2505457, 5.2121281 52.2515659, 5.2115387 52.252532, 5.2111785 52.2531474, 5.211044129145439 52.25336858357301)",sensor:meetvak_14,MeasurementSection,5.212289579272267,52.251302807712584
4851,0351hrl0342ra0,RWS01_MONIBAS_0351hrl0342ra0,708.0,H,4,14551,14552,14553,0.7084332742695557,"LINESTRING (6.469620467111425 52.365846240863775, 6.4686163 52.3659214, 6.4681465 52.3659589, 6.4673325 52.366017, 6.4662431 52.3660723, 6.4648632 52.3661259, 6.4632831 52.3662013, 6.4622466 52.3662595, 6.4615109 52.3663062, 6.460666 52.3663613, 6.45926988065499 52.36645828194959)",sensor:meetvak_15,MeasurementSection,6.464445363736201,52.366153633724316
4850,0351hrl0329ra0,RWS01_MONIBAS_0351hrl0329ra0,332.0,H,4,14548,14549,14550,0.3328784753960958,"LINESTRING (6.449100102780666 52.36714050410581, 6.447896302779474 52.367188004105905, 6.447100402778686 52.36720840410595, 6.446288502777883 52.367229504105985, 6.444795902776404 52.36724630410602, 6.444237702775848 52.367254304106076, 6.444217142298489 52.367254102304535)",sensor:meetvak_16,MeasurementSection,6.44665897504781,52.3672116030733
4849,0321hrr0467ra1,RWS01_MONIBAS_0321hrr0467ra1,1095.0,H,4,14545,14546,14547,1.095894596538038,"LINESTRING (5.933104941053047 52.96544392861534, 5.9327735 52.9657201, 5.9317804 52.966501, 5.9305462 52.9674062, 5.92966 52.9679893, 5.9289669 52.9684229, 5.927663 52.9691988, 5.9263722 52.96991, 5.9250248 52.9706192, 5.9232956 52.9715042, 5.9220866 52.9722223, 5.921713025858438 52.97245486059333)",sensor:meetvak_17,MeasurementSection,5.92752244472511,52.9691244362115
5823,0161hrl0230ra0,RWS01_MONIBAS_0161hrl0230ra0,393.0,H,4,17467,17468,17469,0.3939411272716506,"LINESTRING (4.562191600874818 51.88978990384602, 4.561997300874647 51.89025680384634, 4.561795500874462 51.89064220384655, 4.561542700874233 51.89107300384684, 4.561283900873988 51.89143440384708, 4.560954100873679 51.891862303847326, 4.560599500873345 51.892265103847585, 4.560237300872999 51.892629503847836, 4.559881300872655 51.892938503848, 4.559826316326196 51.89298782907384)",sensor:meetvak_18,MeasurementSection,4.561143994761011,51.89148721725674
4848,0501hrr1826ra0,RWS01_MONIBAS_0501hrr1826ra0,746.0,H,4,14542,14543,14544,0.7465521058256502,"LINESTRING (5.92256210900743 52.017837828800346, 5.9225628 52.0178385, 5.9227213 52.0180074, 5.922842 52.0181479, 5.9229826 52.0183417, 5.923092 52.0185112, 5.9232014 52.0187092, 5.923258 52.0188351, 5.9233391 52.0190598, 5.9233891 52.0192682, 5.9234523 52.0196391, 5.9235023 52.0201394, 5.9236211 52.0208928, 5.9237317 52.0213818, 5.9238626 52.0218976, 5.9239824 52.0222191, 5.9241248 52.0226411, 5.924272 52.0230485, 5.9243644 52.0232807, 5.9245051 52.0236099, 5.9245956 52.0238288, 5.9248058 52.0243034, 5.92482822721902 52.02435851357322)",sensor:meetvak_19,MeasurementSection,5.923739360613286,52.021054516216914
