id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
18636,0171hrr0109ra,RWS01_MONIBAS_0171hrr0109ra,232,H,3,,4.536382783614339,51.632331406666815,POINT (4.536382783614339 51.632331406666815),sensor:telpunt_900,CountingPoint
18635,00D00F09044AD0050009,RWS01_MONICA_00D00F09044AD0050009,257,H,3,,4.487448400981102,51.863657262152586,POINT (4.487448400981102 51.863657262152586),sensor:telpunt_901,CountingPoint
18634,0040vwn0495ra,RWS01_MONIBAS_0040vwn0495ra,46,H,3,,4.341352502467197,52.039060456578916,POINT (4.341352502467197 52.039060456578916),sensor:telpunt_902,CountingPoint
18633,00D00F09044AD0050005,RWS01_MONICA_00D00F09044AD0050005,257,H,3,,4.487448400981102,51.863657262152586,POINT (4.487448400981102 51.863657262152586),sensor:telpunt_903,CountingPoint
18632,00D0320F4C1ED0050005,RWS01_MONICA_00D0320F4C1ED0050005,162,H,3,,5.47487657006235,51.501750632063064,POINT (5.47487657006235 51.501750632063064),sensor:telpunt_904,CountingPoint
18631,00D01B0E6C23D007000F,RWS01_MONICA_00D01B0E6C23D007000F,19,H,3,,5.187479478540297,52.19458455294756,POINT (5.187479478540297 52.19458455294756),sensor:telpunt_905,CountingPoint
18630,00D004085C50D0050009,RWS01_MONICA_00D004085C50D0050009,8,H,3,,4.31093719346861,52.00902997068948,POINT (4.31093719346861 52.00902997068948),sensor:telpunt_906,CountingPoint
18629,00D002117C2D6020000B,RWS01_MONICA_00D002117C2D6020000B,132,H,3,,5.32309606930865,51.72443746106382,POINT (5.32309606930865 51.72443746106382),sensor:telpunt_907,CountingPoint
18628,00D00C0B1055D0050005,RWS01_MONICA_00D00C0B1055D0050005,248,H,3,,5.259880579370782,52.05896993268707,POINT (5.259880579370782 52.05896993268707),sensor:telpunt_908,CountingPoint
18627,0730vwf1093ra,RWS01_MONIBAS_0730vwf1093ra,204,H,3,,5.777329225267454,51.84014623468989,POINT (5.777329225267454 51.84014623468989),sensor:telpunt_909,CountingPoint
18626,0121hrl1451ra,RWS01_MONIBAS_0121hrl1451ra,307,H,3,,6.111657048652178,51.92823575256902,POINT (6.111657048652178 51.92823575256902),sensor:telpunt_910,CountingPoint
18625,00D0040AF82D38200009,RWS01_MONICA_00D0040AF82D38200009,36,H,3,,4.367583100814057,51.92378086539884,POINT (4.367583100814057 51.92378086539884),sensor:telpunt_911,CountingPoint
18624,0280vwm0923ra,RWS01_MONIBAS_0280vwm0923ra,41,H,3,,6.07175447968022,52.5092798828369,POINT (6.07175447968022 52.5092798828369),sensor:telpunt_912,CountingPoint
