id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
3476,N271 richting Veerweg,PLB02_264150_LP,265,O,3,,5.961310952,51.693367163,POINT (5.961310952 51.693367163),sensor:telpunt_16060,CountingPoint
3475,N270 Deurneseweg - Komgrens IJselstein,PLB02_277210_RP,151,O,3,,5.893982014,51.493747319,POINT (5.893982014 51.493747319),sensor:telpunt_16061,CountingPoint
3474,N300 - Haefland,PLB02_274060_LP,172,O,3,,5.973689815,50.959077528,POINT (5.973689815 50.959077528),sensor:telpunt_16062,CountingPoint
3473,N280 - N279,PLB02_273350_RP,64,O,3,,5.921158053,51.213304045,POINT (5.921158053 51.213304045),sensor:telpunt_16063,CountingPoint
3472,Looierstraat - A79,PLB02_281450_LP,142,O,3,,5.971059596,50.883720649,POINT (5.971059596 50.883720649),sensor:telpunt_16064,CountingPoint
3471,Burgemeester Aquariusstraat - Terbetenweg,PLB02_273446_RP,39,O,3,,5.965577298,51.237788542,POINT (5.965577298 51.237788542),sensor:telpunt_16065,CountingPoint
3470,Spikweien richting Voort,PLB02_271250_LP,193,O,3,,6.172951939,51.443794407,POINT (6.172951939 51.443794407),sensor:telpunt_16066,CountingPoint
3469,Aan de Fremme - Pastoot Brouwersstraat,PLB02_278160_LP,278,O,3,,5.83009524,50.817436692,POINT (5.83009524 50.817436692),sensor:telpunt_16067,CountingPoint
3468,Komgrens Hulsberg - N584 Diepestraat,PLB02_298220_LP,226,O,3,,5.852622814,50.88807511,POINT (5.852622814 50.88807511),sensor:telpunt_16068,CountingPoint
3467,Pr. Beatrixstraat - Bergerothweg,PLB02_292160_LP,0,O,3,,5.721470721,51.19653448,POINT (5.721470721 51.19653448),sensor:telpunt_16069,CountingPoint
3466,Klifsbergweg - Stationsweg,PLB02_570160_LP,271,O,3,,6.069742298,51.160047243,POINT (6.069742298 51.160047243),sensor:telpunt_16070,CountingPoint
3465,Kerkstraat - Asseldonkstraat,PLB02_271360_LP,141,O,3,,6.04948393,51.601206269,POINT (6.04948393 51.601206269),sensor:telpunt_16071,CountingPoint
3464,Heverstraat - Heldenseweg,PLB02_562150_LP,56,O,3,,5.938030528,51.277773727,POINT (5.938030528 51.277773727),sensor:telpunt_16072,CountingPoint
3463,Hoogveld - Dr. Nolenslaan,PLB02_276370_RP,42,O,3,,5.851512828,51.015225921,POINT (5.851512828 51.015225921),sensor:telpunt_16073,CountingPoint
3462,Vensestraat - Duitse grens,PLB02_291170_RP,79,O,3,,6.035537537,51.714266289,POINT (6.035537537 51.714266289),sensor:telpunt_16074,CountingPoint
3461,A76 richting Leeuwerweg,PLB02_300002_RP,118,O,3,,5.889157457,50.925535224,POINT (5.889157457 50.925535224),sensor:telpunt_16075,CountingPoint
3460,Imstenraderweg - John F Kennedylaan,PLB02_281300_RP,297,O,3,,5.990190264,50.862927111,POINT (5.990190264 50.862927111),sensor:telpunt_16076,CountingPoint
3459,N277 richting Meerselsepeel,PLB02_270150_LP,263,O,3,,5.881581454,51.495206771,POINT (5.881581454 51.495206771),sensor:telpunt_16077,CountingPoint
3458,BPL Allee richting Struikenweg,PLB02_300005_LP,241,O,3,,5.915501881,50.9304466,POINT (5.915501881 50.9304466),sensor:telpunt_16078,CountingPoint
3457,Vendelweg - Limburgerstraat,PLB02_278135_LP,278,O,3,,5.765513791,50.826545913,POINT (5.765513791 50.826545913),sensor:telpunt_16079,CountingPoint
3456,Komgrens Berg en Terblijt - Komgrens Maastricht,PLB02_590150_LP,261,O,3,,5.749743431,50.857038426,POINT (5.749743431 50.857038426),sensor:telpunt_16080,CountingPoint
3455,Walk - Noorderbaan,PLB02_279156_RP,44,O,3,,5.908736239,51.253272643,POINT (5.908736239 51.253272643),sensor:telpunt_16081,CountingPoint
3454,Leudalweg - Heldenseweg,PLB02_273470_RP,39,O,3,,5.98460202,51.261172958,POINT (5.98460202 51.261172958),sensor:telpunt_16082,CountingPoint
3453,BPL Gaiapark ri Vauputsweg,PLB02_300022_RP,169,O,3,,6.045046191,50.863283733,POINT (6.045046191 50.863283733),sensor:telpunt_16083,CountingPoint
3452,Komgrens Baexem - Grathemerweg,PLB02_280220_LP,280,O,3,,5.856100732,51.226771725,POINT (5.856100732 51.226771725),sensor:telpunt_16084,CountingPoint
3451,Komgrens Valkenburg - A79,PLB02_298150_RP,29,O,3,,5.847821157,50.877660724,POINT (5.847821157 50.877660724),sensor:telpunt_16085,CountingPoint
3450,BPL ReewegBrunssummerstraat ri Hoogstraat,PLB02_300016_RP,110,O,3,,6.026649456,50.915722354,POINT (6.026649456 50.915722354),sensor:telpunt_16086,CountingPoint
3449,Terworm - Looierstraat,PLB02_281460_LP,122,O,3,,5.963969239,50.88785879,POINT (5.963969239 50.88785879),sensor:telpunt_16087,CountingPoint
3448,Schoolstraat - Brugstraat,PLB02_266140_LP,170,O,3,,5.753952268,51.285162154,POINT (5.753952268 51.285162154),sensor:telpunt_16088,CountingPoint
3447,Komgrens Ijselstein - N270,PLB02_277210_LP,331,O,3,,5.893985307,51.493741231,POINT (5.893985307 51.493741231),sensor:telpunt_16089,CountingPoint
3446,Cuijksesteeg richting Startsedijk,PLB02_271750_LP,117,O,3,,5.896474093,51.745706904,POINT (5.896474093 51.745706904),sensor:telpunt_16090,CountingPoint
3445,Baarloseweg - Mariaplein,PLB02_562140_RP,175,O,3,,6.002424968,51.32630133,POINT (6.002424968 51.32630133),sensor:telpunt_16091,CountingPoint
3444,Ossendijk richting Heidenschoolweg,PLB02_270250_RP,78,O,3,,5.927386672,51.505156713,POINT (5.927386672 51.505156713),sensor:telpunt_16092,CountingPoint
3443,Defensieweg - Komgrens Baexem,PLB02_280250_LP,286,O,3,,5.891639413,51.217484936,POINT (5.891639413 51.217484936),sensor:telpunt_16093,CountingPoint
3442,N264 richting N291,PLB02_271650_RP,17,O,3,,5.965217087,51.703394881,POINT (5.965217087 51.703394881),sensor:telpunt_16094,CountingPoint
3441,Nederweerterdijk - grens Noord-Brabant,PLB02_279350_RP,304,O,3,,5.862057993,51.348017896,POINT (5.862057993 51.348017896),sensor:telpunt_16095,CountingPoint
3440,Ruitersbaan - Belgische grens,PLB02_296250_RP,314,O,3,,5.802635834,51.087935438,POINT (5.802635834 51.087935438),sensor:telpunt_16096,CountingPoint
3439,Berkter Hei - A73,PLB02_295150_LP,77,O,3,,6.115308499,51.411096871,POINT (6.115308499 51.411096871),sensor:telpunt_16097,CountingPoint
3438,A73 - N293 Heinsbergerweg,PLB02_570050_RP,101,O,3,,6.018687661,51.176484359,POINT (6.018687661 51.176484359),sensor:telpunt_16098,CountingPoint
3437,BPL Brunssummerweg richting N276,PLB02_300008_RP,61,O,3,,5.939232519,50.940455499,POINT (5.939232519 50.940455499),sensor:telpunt_16099,CountingPoint
3436,Komgrens Stramproy - Belgische grens,PLB02_292170_RP,196,O,3,,5.725639374,51.187195873,POINT (5.725639374 51.187195873),sensor:telpunt_16100,CountingPoint
