id,externalId,validatedOn,rvvCode,status,textSigns,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,imageUrl,firstSeenOn,lastSeenOn,expectedRemovedOn,placedOn,removedOn,longitude,latitude,geometry_wkt
0058cf89-d0f4-47fb-8875-39117fe80842,,,A3,PLACED,[ ],R,Rijksweg A15,1.0,15.0,240254031.0,2024-03-01,Hardinxveld-Giessendam,GM0523,Hardinxveld-Giessendam,https://wegkenmerken.ndw.nu/api/images/06824eef-8f7a-4b06-bb31-ad94339e372f,2016-05-04,2022-05-02,,,,4.9080876367356,51.838091683465,POINT (4.908088 51.838092)
005ae863-1cdc-4d24-90c6-ef3b4eb847a7,,,A3,PLACED,[ ],L,Ringweg-Noord,,22.0,600123755.0,2024-03-01,Amsterdam,GM0363,Amsterdam,https://wegkenmerken.ndw.nu/api/images/149fe621-1770-4f08-be7e-15e08e346591,2016-05-09,2022-04-22,,,,4.8689620194309,52.419565918348,POINT (4.868962 52.419566)
005c5d44-e1aa-4409-b31a-bbe854f754ff,,,A3,PLACED,[ ],R,Rijksweg A1,1.0,1.0,316330013.0,2024-03-01,Amersfoort,GM0307,Amersfoort,https://wegkenmerken.ndw.nu/api/images/560daff4-ad8f-48ac-92e0-666e3c00eaef,2016-04-21,2022-04-14,,,,5.4432423568859,52.168511711618,POINT (5.443242 52.168512)
005e0d1a-f0db-4ed2-97d4-bb7554794460,,,A3,PLACED,[ ],R,Rijksweg,1.0,2.0,300205044.0,2024-03-01,Boxtel,GM0757,Boxtel,https://wegkenmerken.ndw.nu/api/images/4802e3f2-1b4f-4a7e-b749-727f11f98c07,2015-10-21,2022-02-21,,,,5.3299581653869,51.605430603428,POINT (5.329958 51.605431)
005e6201-011a-4f08-a24b-25a5872e55ac,,,A3,PLACED,[ ],Z,1e Deltaweg,2.0,256.0,98192005.0,2024-03-01,Noord-Beveland,GM1695,Kats,https://wegkenmerken.ndw.nu/api/images/e4f9ced6-f000-4431-bee5-c8a58f9a5b27,2017-09-05,2022-09-15,,,,3.8649270916351,51.544669748533,POINT (3.864927 51.54467)
005f69a6-b39b-4cd8-bfd6-1cc3ef99cc40,,,A3,PLACED,[ ],L,Rijksweg A27,1.0,27.0,600122973.0,2024-03-01,Oosterhout,GM0826,Oosterhout,https://wegkenmerken.ndw.nu/api/images/91a7f919-2f25-4a06-b3a2-7d6f8c234e32,2016-05-17,2022-04-22,,,,4.8736490040866,51.629250669055,POINT (4.873649 51.629251)
00607071-f752-4399-ac1a-9cb883d5cf3d,,,A3,PLACED,[ ],W,Ringweg-Noord,,,239384031.0,2024-03-01,Amsterdam,GM0363,Amsterdam,https://wegkenmerken.ndw.nu/api/images/b8ee7eb4-c499-438f-a069-e48259eb8fc9,2016-05-12,2022-04-22,,,,4.8708031722865,52.420514862966,POINT (4.870803 52.420515)
006469a1-c06a-498c-bd4c-4f279a37351d,,,A3,PLACED,[ ],R,Kp Hoevelaken,,,315330007.0,2024-03-01,Amersfoort,GM0307,Amersfoort,https://wegkenmerken.ndw.nu/api/images/78af5ebf-ba4c-4e8f-bce3-66967ce9a3ed,2016-04-20,2022-04-14,,,,5.4280292992966,52.175100771458,POINT (5.428029 52.175101)
0064b82f-bd9e-46c5-93cf-dc337f99a4dd,,,A3,PLACED,[ ],R,Ringweg-Oost,1.0,10.0,600280120.0,2024-03-01,Amsterdam,GM0363,Amsterdam,https://wegkenmerken.ndw.nu/api/images/cfce2678-2210-4a80-8321-32fe32be9bce,2016-05-09,2022-04-21,,,,4.9731168926558,52.369342916844,POINT (4.973117 52.369343)
00650f43-d65a-4bbb-b9f1-33896e8979c2,,,A3,PLACED,[ ],L,Rijksweg A20,1.0,20.0,600113420.0,2024-03-01,Capelle aan den IJssel,GM0502,Capelle aan den IJssel,https://wegkenmerken.ndw.nu/api/images/345ddbae-8439-4231-9bab-fdff12b2679a,2016-04-20,2022-02-10,,,,4.5806819522203,51.963319803193,POINT (4.580682 51.96332)
